2025-12-21 17:04:46.092  4313-8740  AmapBroadcastManager    com.example.cplink                   I  ✅ 增强版广播接收器注册成功
2025-12-21 17:04:46.092  4313-8737  AmapBroadcastManager    com.example.cplink                   I  🚀 启动广播处理协程
2025-12-21 17:04:46.335  4313-4313  AmapBroadcastManager    com.example.cplink                   D  🔍 开始处理高德地图广播数据 (KEY_TYPE: 10001):
2025-12-21 17:04:46.336  4313-4313  AmapBroadcastManager    com.example.cplink                   D  📋 Intent包含的所有数据 (KEY_TYPE: 10001):
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAMERA_DIST = -1
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAMERA_INDEX = -1
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAMERA_SPEED = -1
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAMERA_TYPE = -1
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAR_DIRECTION = 113
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAR_LATITUDE = 0
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CAR_LONGITUDE = 0
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CUR_POINT_NUM = 67
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CUR_ROAD_NAME = 南塘江大桥
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CUR_SEG_NUM = 15
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 CUR_SPEED = 480
2025-12-21 17:04:46.337  4313-4313  AmapBroadcastManager    com.example.cplink                   D     📌 ETA_TEXT = 预计18:18到达
